id;time;change;insert_time;fk_measurement_station_id
31215;2022-05-05 00:02:55.303042 +00:00;-1;2022-05-05 00:02:55.498850 +00:00;6
31216;2022-05-05 00:03:41.741933 +00:00;1;2022-05-05 00:03:41.987161 +00:00;2
31217;2022-05-05 00:04:42.760589 +00:00;1;2022-05-05 00:04:42.896746 +00:00;2
31218;2022-05-05 00:05:55.234140 +00:00;1;2022-05-05 00:05:55.388144 +00:00;6
31219;2022-05-05 00:07:45.117378 +00:00;1;2022-05-05 00:07:45.266215 +00:00;2
31220;2022-05-05 00:08:46.987160 +00:00;-1;2022-05-05 00:08:47.155962 +00:00;6
31221;2022-05-05 00:09:22.905766 +00:00;-1;2022-05-05 00:09:23.053555 +00:00;6
31222;2022-05-05 00:10:47.207166 +00:00;1;2022-05-05 00:10:47.392611 +00:00;2
31223;2022-05-05 00:17:04.006494 +00:00;-1;2022-05-05 00:17:04.194537 +00:00;6
31224;2022-05-05 00:22:07.493765 +00:00;-1;2022-05-05 00:22:07.680075 +00:00;6
31225;2022-05-05 00:23:28.879055 +00:00;-1;2022-05-05 00:23:29.040835 +00:00;6
31226;2022-05-05 00:27:11.175108 +00:00;1;2022-05-05 00:27:11.404272 +00:00;6
31227;2022-05-05 00:32:02.721662 +00:00;1;2022-05-05 00:32:02.880390 +00:00;2
31228;2022-05-05 00:32:21.567297 +00:00;-1;2022-05-05 00:32:21.786005 +00:00;2
31229;2022-05-05 00:33:40.988668 +00:00;-1;2022-05-05 00:33:41.177159 +00:00;6
31230;2022-05-05 00:34:04.080596 +00:00;1;2022-05-05 00:34:04.262054 +00:00;2
31231;2022-05-05 00:35:25.403398 +00:00;1;2022-05-05 00:35:25.552983 +00:00;2
31232;2022-05-05 00:43:55.010814 +00:00;1;2022-05-05 00:43:55.196482 +00:00;2
31233;2022-05-05 00:45:24.526535 +00:00;1;2022-05-05 00:45:24.738153 +00:00;6
31234;2022-05-05 00:46:12.721582 +00:00;1;2022-05-05 00:46:12.936086 +00:00;2
31235;2022-05-05 00:56:32.776768 +00:00;-1;2022-05-05 00:56:32.963605 +00:00;6
31236;2022-05-05 01:08:42.044477 +00:00;1;2022-05-05 01:08:42.221527 +00:00;6
31237;2022-05-05 01:11:31.545165 +00:00;1;2022-05-05 01:11:31.697350 +00:00;2
31238;2022-05-05 01:16:34.961219 +00:00;-1;2022-05-05 01:16:35.153735 +00:00;2
31239;2022-05-05 01:18:14.991070 +00:00;1;2022-05-05 01:18:15.167882 +00:00;6
31240;2022-05-05 01:22:52.495864 +00:00;-1;2022-05-05 01:22:52.689157 +00:00;6
31241;2022-05-05 01:23:40.334677 +00:00;-1;2022-05-05 01:23:40.499391 +00:00;2
31242;2022-05-05 01:24:53.976400 +00:00;-1;2022-05-05 01:24:54.172537 +00:00;6
31243;2022-05-05 01:26:08.302049 +00:00;1;2022-05-05 01:26:08.486966 +00:00;2
31244;2022-05-05 01:28:40.942082 +00:00;-1;2022-05-05 01:28:41.094388 +00:00;2
31245;2022-05-05 01:28:41.963566 +00:00;-1;2022-05-05 01:28:42.210138 +00:00;2
31246;2022-05-05 01:28:42.752438 +00:00;1;2022-05-05 01:28:42.930480 +00:00;2
31247;2022-05-05 01:29:44.933652 +00:00;1;2022-05-05 01:29:45.130605 +00:00;2
31248;2022-05-05 01:29:58.040825 +00:00;1;2022-05-05 01:29:58.194969 +00:00;6
31249;2022-05-05 01:30:58.728770 +00:00;1;2022-05-05 01:30:58.875818 +00:00;6
31250;2022-05-05 01:31:59.347306 +00:00;1;2022-05-05 01:31:59.513989 +00:00;6
31251;2022-05-05 01:32:15.486283 +00:00;-1;2022-05-05 01:32:15.654459 +00:00;2
31252;2022-05-05 01:32:26.058836 +00:00;-1;2022-05-05 01:32:26.211930 +00:00;2
31253;2022-05-05 01:34:48.636408 +00:00;-1;2022-05-05 01:34:48.826795 +00:00;2
31254;2022-05-05 01:36:02.404394 +00:00;-1;2022-05-05 01:36:02.585284 +00:00;6
31255;2022-05-05 01:42:35.469136 +00:00;-1;2022-05-05 01:42:35.637600 +00:00;6
31256;2022-05-05 01:46:57.930176 +00:00;-1;2022-05-05 01:46:58.134952 +00:00;2
31257;2022-05-05 01:46:58.354242 +00:00;1;2022-05-05 01:46:58.505130 +00:00;2
31258;2022-05-05 01:47:10.972536 +00:00;1;2022-05-05 01:47:11.168092 +00:00;6
31259;2022-05-05 01:47:59.390662 +00:00;1;2022-05-05 01:47:59.584008 +00:00;2
31260;2022-05-05 01:48:59.603830 +00:00;-1;2022-05-05 01:48:59.781315 +00:00;2
31261;2022-05-05 01:49:12.250406 +00:00;-1;2022-05-05 01:49:12.503385 +00:00;6
31262;2022-05-05 01:49:12.616487 +00:00;1;2022-05-05 01:49:12.802762 +00:00;6
31263;2022-05-05 01:50:21.378858 +00:00;-1;2022-05-05 01:50:21.570221 +00:00;2
31264;2022-05-05 01:56:18.247136 +00:00;1;2022-05-05 01:56:18.432147 +00:00;2
31265;2022-05-05 01:57:03.875566 +00:00;1;2022-05-05 01:57:04.089966 +00:00;6
31266;2022-05-05 02:00:08.198306 +00:00;1;2022-05-05 02:00:08.400027 +00:00;2
31267;2022-05-05 02:05:24.021020 +00:00;-1;2022-05-05 02:05:24.231132 +00:00;6
31268;2022-05-05 02:06:16.918845 +00:00;1;2022-05-05 02:06:17.114831 +00:00;6
31269;2022-05-05 02:11:16.312013 +00:00;1;2022-05-05 02:11:16.507229 +00:00;2
31270;2022-05-05 02:14:54.476438 +00:00;1;2022-05-05 02:14:54.665768 +00:00;2
31271;2022-05-05 02:15:18.941552 +00:00;-1;2022-05-05 02:15:19.132010 +00:00;2
31272;2022-05-05 02:17:01.575159 +00:00;-1;2022-05-05 02:17:01.771483 +00:00;6
31273;2022-05-05 02:18:21.476437 +00:00;1;2022-05-05 02:18:21.645016 +00:00;2
31274;2022-05-05 02:24:38.646975 +00:00;1;2022-05-05 02:24:38.834553 +00:00;6
31275;2022-05-05 02:25:26.774781 +00:00;1;2022-05-05 02:25:26.970277 +00:00;2
31276;2022-05-05 02:32:32.335678 +00:00;-1;2022-05-05 02:32:32.509080 +00:00;2
31277;2022-05-05 02:33:44.992847 +00:00;1;2022-05-05 02:33:45.185021 +00:00;6
31278;2022-05-05 02:33:46.252730 +00:00;-1;2022-05-05 02:33:46.451115 +00:00;2
31279;2022-05-05 02:34:46.126382 +00:00;-1;2022-05-05 02:34:46.327976 +00:00;6
31280;2022-05-05 02:37:35.840950 +00:00;1;2022-05-05 02:37:36.001186 +00:00;2
31281;2022-05-05 02:38:36.619700 +00:00;-1;2022-05-05 02:38:36.798417 +00:00;2
31282;2022-05-05 02:44:18.320166 +00:00;1;2022-05-05 02:44:18.508462 +00:00;2
31283;2022-05-05 02:47:56.438395 +00:00;-1;2022-05-05 02:47:56.658092 +00:00;6
31284;2022-05-05 02:54:49.014891 +00:00;-1;2022-05-05 02:54:49.229602 +00:00;2
31285;2022-05-05 03:02:54.747617 +00:00;-1;2022-05-05 03:02:54.960923 +00:00;2
31286;2022-05-05 03:04:10.003731 +00:00;-1;2022-05-05 03:04:10.205273 +00:00;6
31287;2022-05-05 03:15:17.980025 +00:00;1;2022-05-05 03:15:18.188540 +00:00;6
31288;2022-05-05 03:16:05.083286 +00:00;1;2022-05-05 03:16:05.230648 +00:00;2
31289;2022-05-05 03:19:21.324635 +00:00;-1;2022-05-05 03:19:21.502434 +00:00;6
31290;2022-05-05 03:27:13.187705 +00:00;1;2022-05-05 03:27:13.341951 +00:00;2
31291;2022-05-05 03:28:13.676046 +00:00;1;2022-05-05 03:28:13.902211 +00:00;2
31292;2022-05-05 03:28:28.033738 +00:00;1;2022-05-05 03:28:28.189432 +00:00;6
31293;2022-05-05 03:29:14.862996 +00:00;1;2022-05-05 03:29:15.023224 +00:00;2
31294;2022-05-05 03:35:52.613935 +00:00;1;2022-05-05 03:35:52.795157 +00:00;2
31295;2022-05-05 03:39:36.118050 +00:00;1;2022-05-05 03:39:36.268211 +00:00;6
31296;2022-05-05 03:40:22.669926 +00:00;1;2022-05-05 03:40:22.868617 +00:00;2
31297;2022-05-05 03:46:53.653403 +00:00;-1;2022-05-05 03:46:53.864990 +00:00;2
31298;2022-05-05 03:52:45.937025 +00:00;1;2022-05-05 03:52:46.123704 +00:00;6
31299;2022-05-05 03:54:33.166095 +00:00;1;2022-05-05 03:54:33.357764 +00:00;2
31300;2022-05-05 03:54:44.023513 +00:00;1;2022-05-05 03:54:44.263235 +00:00;2
31301;2022-05-05 04:02:53.684949 +00:00;1;2022-05-05 04:02:53.880946 +00:00;6
31302;2022-05-05 04:05:41.346021 +00:00;-1;2022-05-05 04:05:41.533107 +00:00;2
